"type","question","options","answer"
"单选题","《招标投标法》规定招标投标活动应当遵循的核心原则 是？","A. 公开、公平、公正和诚实信用
B. 科学、择优、保密和高效
C. 合法、合规、合理和合约
D. 独立、客观、公正和保密","A"
"单选题","《招标投标法》规定采用邀请招标方式的，招标人应当 向至少多少个具备承担项目能力、资信良好的特定法人 或其他组织发出投标邀请书？","A. 两个
B. 三个
C. 五个
D. 七个","B"
"单选题","《招标投标法》规定投标人应当在何时之前将投标文件 送达投标地点？","A. 开标时间
B. 评标开始时间
C. 招标文件要求提交投标文件的截止时间
D. 合同签订时间","C"
"单选题","依法必须进行招标的项目，其评标委员会中技术、经济 等方面的专家人数不得少于成员总数的多少？","A. 三分之一
B. 二分之一
C. 三分之二
D. 四分之三","C"
"单选题","根据《招标投标法》，招标人对已发出的招标文件进行 修改的，应当在招标文件要求提交投标文件截止时间至 少（）前，以书面形式通知所有招标文件收受人","A. 5日
B. 7日
C. 10日
D. 15日","D"
"单选题","根据《招标投标法》，由同一专业的单位组成的联合体 共同投标时，其资质等级应如何确定？","A. 按照资质等级较高的单位确定
B. 按照各成员资质等级的平均值确定
C. 按照资质等级较低的单位确定
D. 由招标人指定其中一家为准","C"
"单选题","根据《招标投标法》，中标人的投标除了需满足招标文 件的实质性要求外，若其“经评审的投标价格最低”， 还必须满足一个前提条件。这个前提条件是？","A. 低于招标人设定的标底
B. 低于所有投标人报价的平均值
C. 投标价格不低于成本
D. 得到评标委员会全票通过","C"
"单选题","下列招标投标活动，适用《招标投标法》的是（）","A. 台湾某单位某机电产品国际招标
B. 北京某公司参加泰国建筑工程投标
C. 香港某单位某工程建设项目施工招标
D. 台湾企业参加平潭综合试验区某建筑工程投标","D"
"单选题","某工程施工招标采用“经评审的最低投标价法”。评审 中，评标委员会发现投标人A的报价显著低于其他投标人 。A公司书面说明称因其拥有新型施工专利可大幅节约成 本，但拒绝提供详细的成本分析，称此为核心商业机密 。评标委员会应如何处理？","A. 接受其说明，因其理由合理且报价最低，推荐为第一中标候选人
B. 直接认定其报价低于成本，否决其投标
C. 因A公司未能提供充分证明材料，无法认定其报价不低于成本，
可据此否决其投标
D. 要求所有投标人重新报价，以形成竞争","C"
"单选题","根据《招标投标法》，在某项目评标结束后、中标通知 书发出前，招标人代表私下联系排名第一的中标候选人B 公司，表示“贵公司承诺的项目经理业绩虽满足要求， 但并非最优，若能更换为我方更熟悉的某专家，将更有 利于合同履行”。B公司为求稳妥中标，书面同意了此要 求。此事后被举报查实。该行为性质如何认定？","A. 属于合同签订前的正常人员磋商，不违法
B. 属于招标人代表个人不当沟通，不影响中标结果
C. 属于在确定中标人前，就投标方案（项目经理）这一实质性内容
进行谈判，违法
D. 属于招标人对中标候选人履约能力的合理考察","C"
"多选题","根据《招标投标法》，在中华人民共和国境内，下列哪 些工程建设项目必须进行招标？","A. 大型基础设施项目
B. 部分使用国有资金投资的项目
C. 使用国际组织援助资金的项目
D. 民营企业使用自有资金建设自用的厂房建设项目
E. 关系公共安全的公用事业项目","ABCE"
