"type","question","options","answer"
"单选题","政府采购关于""财政性资金""，下列说法不正 确的是（）","A. 财政性资金是指纳入预算管理的资金。
B. 财政性资金是指以税收为主体的财政收入
C. 以财政性资金作为还款来源的借贷资金，视同财政性资金
D. 国家机关、事业单位和团体组织的采购项目既使用财政性资金又使用非财政性资金的，财政性资金与非财政性资金无法分割采购的，统一适用适用《中华人民共和国政府采购法》及《中华人民共和国政府采购法实施条例》","B"
"单选题","政府采购项目信息应当在（)指定的媒体上 发布。","A. 省级以上人民政府财政部门
B. 市级以上人民政府财政部门
C. 县级以上人民政府财政部门
D. 采购人预算主管部门","A"
"单选题","集中采购机构是（）。","A. 设区的市级以上人民政府依法设立的非营利事业法人
B. 县级以上人民政府依法设立的非营利事业法人
C. 省级以上人民政府依法设立的营利事业法人
D. 设区的市级以上人民政府依法设立的营利事业法人","A"
"单选题","采购人采购公开招标数额标准以上的货物或者 服务，符合法定情形时，经（）可以依法采 用公开招标以外的采购方式。","A. 设区的市级以上人民政府财政部门批准
B. 设区的市级以上人民政府财政部门备案
C. 设省级以上人民政府财政部门批准
D. 设省级以上人民政府财政部门备案","A"
"单选题","关于电子化政府采购的法律效力，正确的理解 是：","A. 电子文件与纸质文件具有同等法律效力
B. 电子文件仅作为参考，不具有法律效力
C. 需要另外签订纸质合同确认电子文件效力
D. 由采购人决定是否承认电子文件效力","A"
"单选题","政府采购中，招标代理机构项目经理与供应商 有利害关系却没有依法回避，财政部n应给 予：","A. 行政拘留
B. 2000以上2万以下罚款
C. 记大过处分
D. 2万以上5万以下罚款","B"
"单选题","政府采购中，W下履约保证金中哪种是应被拒 绝的：","A. 某担保公司按照招标文件要求格式出具的保函
B. 某银行按招标文件要求格式出具的银行保函
C. 现金
D. 由投标人开户银行出具的银行汇票","C"
"单选题","根据《政府采购法实施条例》，供应商提出的 询问或者质疑超出采购人对采购代理机构委托 授权范围的，采购代理机构应当采取的方式是 ()","A. 告知供应商向采购人提出
B. 拒绝回答
C. 告知采购人回答供应商
D. 询问采购人意见","A"
"单选题","省级W上人民政府财政部口应当对政府采购评 审专家库实行0，具体管理办法由国务院财政 部口制定。","A. 分级管理
B. 静态管理
C. 动态管理
D. 综合管理","C"
"单选题","根据《政府采购法实施条例》，下列关于采购 人的情形，应当由财政部口责令限期改正，给 予警告，对直接负责的主管人员和其他直接责 任人员依法给予处分的是（）。","A. 按照规定时间将政府采购合同副本报本级人民政府财政部口
B. 未按照规定将政府采购实施计划报本级人民政府财政部口备案
C. 将政府采购合同进行公告
D. 在采购合同履行中追加的相同货物的采购金额为原合同采购金额的8%","B"
